Iteration,Penalty
0,908
1000,322
2000,296
3000,274
4000,274
5000,274
6000,274
7000,274
8000,274
9000,274
10000,274
11000,274
12000,274
13000,274
14000,274
15000,274
16000,274
17000,274
18000,274
19000,261
20000,261
21000,261
22000,261
23000,261
24000,259
25000,248
26000,248
27000,248
28000,248
29000,248
30000,248
31000,248
32000,248
33000,248
34000,248
35000,227
36000,227
37000,227
38000,218
39000,218
40000,203
41000,203
42000,196
43000,196
44000,196
45000,191
46000,154
47000,154
48000,133
49000,133
50000,116
51000,100
52000,89
53000,62
54000,57
55000,48
56000,38
57000,37
58000,29
59000,26
60000,23
61000,21
62000,18
63000,17
64000,14
65000,10
66000,9
67000,9
68000,8
69000,8
70000,7
71000,7
72000,6
73000,6
74000,5
75000,5
76000,5
77000,4
78000,4
79000,4
80000,3
81000,3
82000,3
83000,3
84000,3
85000,3
86000,3
87000,3
88000,3
89000,3
90000,2
91000,2
92000,2
93000,2
94000,2
95000,2
96000,2
97000,2
98000,2
99000,2
100000,2
101000,2
102000,2
103000,2
104000,2
105000,2
106000,2
107000,2
108000,2
109000,2
110000,2
111000,2
112000,2
113000,2
114000,2
115000,2
116000,2
117000,2
118000,2
119000,2
120000,2
121000,2
122000,2
123000,2
124000,2
125000,2
126000,2
127000,2
128000,2
129000,2
130000,2
131000,2
132000,2
133000,2
134000,2
135000,2
136000,2
137000,2
138000,2
139000,2
140000,2
141000,2
142000,2
143000,2
144000,2
145000,2
146000,2
147000,2
148000,2
149000,2
150000,2
151000,2
152000,2
153000,2
154000,2
155000,2
156000,2
157000,2
158000,2
159000,2
160000,2
161000,2
162000,2
163000,2
164000,2
165000,2
166000,2
167000,2
168000,2
169000,2
170000,2
171000,2
172000,2
173000,2
174000,2
175000,2
176000,2
177000,2
178000,2
179000,2
180000,2
181000,2
182000,2
183000,2
184000,2
185000,2
186000,2
187000,2
188000,2
189000,2
190000,2
191000,2
192000,2
193000,2
194000,2
195000,2
196000,2
197000,2
198000,2
199000,2
200000,2
201000,2
202000,2
203000,2
204000,2
205000,2
206000,2
207000,2
208000,2
209000,2
210000,2
211000,2
212000,2
213000,2
214000,2
215000,2
216000,2
217000,2
218000,2
219000,2
220000,2
221000,2
222000,2
223000,2
224000,2
225000,2
226000,2
227000,2
228000,2
229000,2
230000,2
231000,2
232000,2
233000,2
234000,2
235000,2
236000,2
237000,2
238000,2
239000,2
240000,2
241000,2
242000,2
243000,2
244000,2
245000,2
246000,2
247000,2
248000,2
249000,2
250000,2
251000,2
252000,2
253000,2
254000,2
255000,2
256000,2
257000,2
258000,2
259000,2
260000,2
261000,2
262000,2
263000,2
264000,2
265000,2
266000,2
267000,2
268000,2
269000,2
270000,2
271000,2
272000,2
273000,2
274000,2
275000,2
276000,2
277000,2
278000,2
279000,2
280000,2
281000,2
282000,2
283000,2
284000,2
285000,2
286000,2
287000,2
288000,2
289000,2
290000,2
291000,2
292000,2
293000,2
294000,2
295000,2
296000,2
297000,2
298000,2
299000,2
300000,2
301000,2
302000,2
303000,2
304000,2
305000,2
306000,2
307000,2
308000,2
309000,2
310000,2
311000,2
312000,2
313000,2
314000,2
315000,2
316000,2
317000,2
318000,2
319000,2
320000,2
321000,2
322000,2
323000,2
324000,2
325000,2
326000,2
327000,2
328000,2
329000,2
330000,2
331000,2
332000,2
333000,2
334000,2
335000,2
336000,2
337000,2
338000,2
339000,2
340000,2
341000,2
342000,2
343000,2
344000,2
345000,2
346000,2
347000,2
348000,2
349000,2
350000,2
351000,2
352000,2
353000,2
354000,2
355000,2
356000,2
357000,2
358000,2
359000,2
360000,2
361000,2
362000,2
363000,2
364000,2
365000,2
366000,2
367000,2
368000,2
369000,2
370000,2
371000,2
372000,2
373000,2
374000,2
375000,2
376000,2
377000,2
378000,2
379000,2
380000,2
381000,2
382000,2
383000,2
384000,2
385000,2
386000,2
387000,2
388000,2
389000,2
390000,2
391000,2
392000,2
393000,2
394000,2
395000,2
396000,2
397000,2
398000,2
399000,2
400000,2
401000,2
402000,2
403000,2
404000,2
405000,2
406000,2
407000,2
408000,2
409000,2
410000,2
411000,2
412000,2
413000,2
414000,2
415000,2
416000,2
417000,2
418000,2
419000,2
420000,2
421000,2
422000,2
423000,2
424000,2
425000,2
426000,2
427000,2
428000,2
429000,2
430000,2
431000,2
432000,2
433000,2
434000,2
435000,2
436000,2
437000,2
438000,2
439000,2
440000,2
441000,2
442000,2
443000,2
444000,2
445000,2
446000,2
447000,2
448000,2
449000,2
450000,2
451000,2
452000,2
453000,2
454000,2
455000,2
456000,2
457000,2
458000,2
459000,2
460000,2
461000,2
462000,2
463000,2
464000,2
465000,2
466000,2
467000,2
468000,2
469000,2
470000,2
471000,2
472000,2
473000,2
474000,2
475000,2
476000,2
477000,2
478000,2
479000,2
480000,2
481000,2
482000,2
483000,2
484000,2
485000,2
486000,2
487000,2
488000,2
489000,2
490000,2
491000,2
492000,2
493000,2
494000,2
495000,2
496000,2
497000,2
498000,2
499000,2
500000,2
