Iteration,Penalty
0,883
1000,284
2000,267
3000,267
4000,267
5000,267
6000,267
7000,267
8000,267
9000,267
10000,267
11000,267
12000,267
13000,267
14000,267
15000,267
16000,267
17000,267
18000,267
19000,267
20000,267
21000,263
22000,246
23000,246
24000,246
25000,246
26000,246
27000,246
28000,246
29000,246
30000,239
31000,239
32000,239
33000,239
34000,239
35000,239
36000,239
37000,221
38000,221
39000,217
40000,214
41000,210
42000,210
43000,192
44000,182
45000,182
46000,169
47000,154
48000,154
49000,132
50000,106
51000,89
52000,77
53000,63
54000,51
55000,46
56000,35
57000,35
58000,26
59000,20
60000,12
61000,10
62000,9
63000,8
64000,8
65000,7
66000,6
67000,5
68000,4
69000,4
70000,4
71000,4
72000,3
73000,3
74000,3
75000,3
76000,3
77000,3
78000,3
79000,3
80000,3
81000,3
82000,3
83000,3
84000,2
85000,2
86000,2
87000,2
88000,2
89000,2
90000,2
91000,2
92000,2
93000,2
94000,2
95000,2
96000,2
97000,2
98000,2
99000,2
100000,2
101000,2
102000,2
103000,2
104000,2
105000,2
106000,2
107000,2
108000,2
109000,2
110000,2
111000,2
112000,2
113000,2
114000,2
115000,2
116000,2
117000,2
118000,2
119000,2
120000,2
121000,2
122000,2
123000,2
124000,2
125000,2
126000,2
127000,2
128000,2
129000,2
130000,2
131000,2
132000,2
133000,2
134000,2
135000,2
136000,2
137000,2
138000,2
139000,2
140000,2
141000,2
142000,2
143000,2
144000,2
145000,2
146000,2
147000,2
148000,2
149000,2
150000,2
151000,2
152000,2
153000,2
154000,2
155000,2
156000,2
157000,2
158000,2
159000,2
160000,2
161000,2
162000,2
163000,2
164000,2
165000,2
166000,2
167000,2
168000,2
169000,2
170000,2
171000,2
172000,2
173000,2
174000,2
175000,2
176000,2
177000,2
178000,2
179000,2
180000,2
181000,2
182000,2
183000,2
184000,2
185000,2
186000,2
187000,2
188000,2
189000,2
190000,2
191000,2
192000,2
193000,2
194000,2
195000,2
196000,2
197000,2
198000,2
199000,2
200000,2
201000,2
202000,2
203000,2
204000,2
205000,2
206000,2
207000,2
208000,2
209000,2
210000,2
211000,2
212000,2
213000,2
214000,2
215000,2
216000,2
217000,2
218000,2
219000,2
220000,2
221000,2
222000,2
223000,2
224000,2
225000,2
226000,2
227000,2
228000,2
229000,2
230000,2
231000,2
232000,2
233000,2
234000,2
235000,2
236000,2
237000,2
238000,1
239000,1
240000,1
500000,0
