Iteration,Penalty
0,818
1000,320
2000,300
3000,278
4000,273
5000,273
6000,273
7000,273
8000,273
9000,273
10000,273
11000,273
12000,273
13000,273
14000,273
15000,273
16000,273
17000,269
18000,269
19000,269
20000,269
21000,269
22000,254
23000,254
24000,254
25000,254
26000,247
27000,247
28000,247
29000,247
30000,247
31000,247
32000,247
33000,246
34000,246
35000,246
36000,219
37000,219
38000,219
39000,219
40000,219
41000,211
42000,196
43000,196
44000,167
45000,165
46000,157
47000,157
48000,146
49000,127
50000,104
51000,81
52000,73
53000,66
54000,58
55000,51
56000,49
57000,42
58000,36
59000,27
60000,22
61000,20
62000,17
63000,15
64000,12
65000,12
66000,7
67000,6
68000,5
69000,4
70000,4
71000,2
72000,2
73000,2
74000,2
75000,2
76000,2
77000,2
78000,2
79000,2
80000,2
81000,2
82000,2
83000,2
84000,2
85000,2
86000,2
87000,2
88000,2
89000,2
90000,2
91000,2
92000,2
93000,2
94000,2
95000,2
96000,2
97000,2
98000,2
99000,2
100000,2
101000,2
102000,2
103000,2
104000,2
105000,2
106000,2
107000,2
108000,2
109000,2
110000,2
111000,2
112000,2
113000,2
114000,2
115000,2
116000,2
117000,2
118000,2
119000,2
120000,2
121000,2
122000,2
123000,2
124000,2
125000,2
126000,2
127000,2
128000,2
129000,2
130000,2
131000,2
132000,2
133000,2
134000,2
135000,2
136000,2
137000,2
138000,2
139000,2
140000,2
141000,2
142000,2
143000,2
144000,2
145000,2
146000,2
147000,2
148000,2
149000,2
150000,2
151000,2
152000,2
153000,2
154000,2
155000,2
156000,2
157000,2
158000,2
159000,2
160000,2
161000,2
162000,2
163000,2
164000,2
165000,2
166000,2
167000,2
168000,2
169000,2
170000,2
171000,2
172000,2
173000,2
174000,2
175000,2
176000,2
177000,2
178000,2
179000,2
180000,2
181000,2
182000,2
183000,2
184000,2
185000,2
186000,2
187000,2
188000,2
189000,2
190000,2
191000,2
192000,2
193000,2
194000,2
195000,2
196000,2
197000,2
198000,2
199000,2
200000,2
201000,2
202000,2
203000,2
204000,2
205000,2
206000,2
207000,2
208000,2
209000,2
210000,2
211000,2
212000,2
213000,2
214000,2
215000,2
216000,2
217000,2
218000,2
219000,2
220000,2
221000,2
222000,2
223000,2
224000,2
225000,2
226000,2
227000,2
228000,2
229000,2
230000,2
231000,2
232000,2
233000,2
234000,2
235000,2
236000,2
237000,2
238000,2
239000,2
240000,2
241000,2
242000,2
243000,2
244000,2
245000,2
246000,2
247000,2
248000,2
249000,2
250000,2
251000,2
252000,2
253000,2
254000,2
255000,2
256000,2
257000,2
258000,2
259000,2
260000,2
261000,2
262000,2
263000,2
264000,2
265000,2
266000,2
267000,2
268000,2
269000,2
270000,2
271000,2
272000,2
273000,2
274000,2
275000,2
276000,2
277000,2
278000,2
279000,2
280000,2
281000,2
282000,2
283000,2
284000,2
285000,2
286000,2
287000,2
288000,2
289000,2
290000,2
291000,2
292000,2
293000,2
294000,2
295000,2
296000,2
297000,2
298000,2
299000,2
300000,2
301000,2
302000,2
303000,2
304000,2
305000,2
306000,2
307000,2
308000,2
309000,2
310000,2
311000,2
312000,2
313000,2
314000,2
315000,2
316000,2
317000,2
318000,2
319000,2
320000,2
321000,2
322000,2
323000,2
324000,2
325000,2
326000,2
327000,2
328000,2
329000,2
330000,2
331000,2
332000,2
333000,2
334000,2
335000,2
336000,2
337000,2
338000,2
339000,2
340000,2
341000,2
342000,2
343000,2
344000,2
345000,2
346000,2
347000,2
348000,2
349000,2
350000,2
351000,2
352000,1
500000,0
